"marsh","NY1","50","N","N","cranberries, no grass","mµ∞éÛ","MS",-0-,1.
"marshy place","GA30A","272.1(*)","O","N",-0-,"Âmﬁº∫{∞}Û±ø´º$p`≈e∫±ø´ºs","MS",-0-,1117.
"marsh","GA30B","272.2(*)","N","Y","on coast","mﬁº∫{∞é}Û","MS","HES",1118.
"marsh","GA30C!","272.3!","N","N","sea coast","mµæ{∞}Û","MS",-0-,1119.
"NR","GA30D",-0-,-0-,"N",-0-,-0-,"MS",-0-,1120.
"NA","GA30E",-0-,-0-,"N",-0-,-0-,"MS",-0-,1121.
"salt marshes","GA31","272A","O","Y",-0-,"Âs∂´∑Ït$ımµæ∞Û±øºz","MS","HRD",1122.
"NR","GA32","272B",-0-,"N",-0-,-0-,"MS",-0-,1123.
"NR","GA33A","272C1",-0-,"N",-0-,-0-,"MS",-0-,1124.
"marsh","GA33B","272C2","N","N",-0-,"mµ´æ∫¥›Û","MS",-0-,1125.
"marsh","GA33B","272C2","N","N",-0-,"mﬁ´º∫{∞}Û","MS",-0-,1125.
"marsh","GA33B","272C2","N","N",-0-,"mﬁ´º∫{∞}Û","MS",-0-,1125.
"marsh","GA33B","272C2","N","N",-0-,"mµ´æ∫¥›Û","MS",-0-,1125.
"NR","GA34N","N273",-0-,"N",-0-,-0-,"MS",-0-,1126.
"marsh","GA34A","273.1","N","N","sinkable","mµ:Û","MS",-0-,1127.
"marsh","GA34B","273.2","N","N",-0-,"maæ∫∞Û","MS",-0-,1128.
"NR","GA36N","N274A",-0-,"N",-0-,-0-,"MS",-0-,1130.
"NR","GA37N","2N274",-0-,"N",-0-,-0-,"MS",-0-,1131.
"marsh land","GA37M!","NC274","O","N","along the sea","Âmµ∫Û$ıl·nd","MS",-0-,1132.
"NR","GA37A","274.1",-0-,"N",-0-,-0-,"MS",-0-,1133.
"NR","GA37B","274.2",-0-,"N",-0-,-0-,"MS",-0-,1134.
"NR","GA37C","274.21",-0-,"N",-0-,-0-,"MS",-0-,1135.
"marshes","GA37D!","274.7!","N","N",-0-,"mµæ∫Û±ø´z","MS",-0-,1136.
"marshes","GA37E!","274.8!","N","N",-0-,"mµæ∞Û±øz","MS",-0-,1137.
"marshes","GA37E!","274.8!","N","N",-0-,"mµ∫∞Û±ø´z","MS",-0-,1137.
"marshes","GA37F!","274.3!","N","N",-0-,"mµæ∫∞Û±øºz","MS",-0-,1138.
"marsh lands","GA37F!","274.3!","O","N",-0-,"Âmµæ∫∞Û$ıl·∫{≤}nz","MS",-0-,1138.
"NR","GA37G!","274.4!",-0-,"N",-0-,-0-,"MS",-0-,1139.
"marshes","GA37H!","274.5!","N","N","on coast","mµæ∫{∞}Û±øºz","MS",-0-,1140.
"marshy land","GA37H!","274.5!","O","N","on coast","Âmµæ∫{∞}Û±ø´º$ıl·∫{≤}n","MS",-0-,1140.
"marshes","GA37I!","274.6!","N","N",-0-,"mµæÛ±øºz","MS",-0-,1141.
"NR","GA38","275",-0-,"N","no marshes",-0-,"MS",-0-,1142.
"shore land","GA39","275A","O","N",-0-,"ÂÛoº∞$la´æ∫{∞}n","MS",-0-,1143.
"marsh","GA39","275A","N","N",-0-,"mﬁº¥Û","MS",-0-,1143.
"NR","GA40","276A",-0-,"N",-0-,-0-,"MS",-0-,1144.
"NR","GA41","276B",-0-,"N",-0-,-0-,"MS",-0-,1145.
"NR","GA42A","276.1",-0-,"N",-0-,-0-,"MS",-0-,1146.
"marsh","GA42B","276.2","N","N",-0-,"mﬁé∫¥Û","MS","CNV",1147.
"marsh","GA43","277","N","N","opener than swamp","mµ¥Û","MS",-0-,1148.
"NR","GA44A","278.1",-0-,"N",-0-,-0-,"MS",-0-,1149.
"NR","GA44B","278.2",-0-,"N",-0-,-0-,"MS",-0-,1150.
"NR","GA44C","278.3",-0-,"N",-0-,-0-,"MS",-0-,1151.
"NR","GA44D","278.4",-0-,"N",-0-,-0-,"MS",-0-,1152.
"marsh land","GA44E","278.5","O","N",-0-,"Âmµæ¥Û$ıl·´∫nd","MS",-0-,1153.
"marsh","FL1","252","N","N",-0-,"mﬁó∫∞Û","MS",-0-,1154.
"salt water marsh","FL1","252","O","N",-0-,"Âs∑´lt$ıw∑∫∞éÒ∞$Âmﬁ∫∞Û","MS",-0-,1154.
"salt water marshes","FL2A","253.1","O","N",-0-,"Âs∑∫{∞}Ït$ıw∑∫{∞}tê¥$Âm∂éó∫¥Û±øºz","MS",-0-,1155.
"marshes","FL2A","253.1","N","N",-0-,"mﬁéó∫¥Û±øºz","MS",-0-,1155.
"marsh land","FL2B","253.2","O","N",-0-,"Âmµæ∞Û$ıl·´{≤}nd","MS",-0-,1156.
"marshes","FL2C!","253.3!","N","N",-0-,"mµæ∫∞Û±øºz","MS",-0-,1157.
"marsh","FL2C!","253.3!","N","N",-0-,"mµ∫∞Û","MS","CNV",1157.
"marsh","FL3A","254.1","N","N",-0-,"mµæ∫∞Û","MS",-0-,1158.
"salt marsh","FL3A","254.1","O","N",-0-,"Âs∑∫{∞}lt$ımµæ∫∞Û","MS",-0-,1158.
"bulrushes","FL3B!","254.2!","N","N","same as marsh","Âbπólır∏ó´Û±øºz","MS",-0-,1159.
"marsh","FL3B!","254.2!","N","N","always salt","mµ∫∞Û","MS",-0-,1159.
"marsh grass","FL3B!","254.2!","O","Y",-0-,"Âmµæ∞Û$ıgrá·∫{≤}s","MS","INA",1159.
"marsh","FL4","254A","N","N",-0-,"m∂éî¥Û","MS",-0-,1160.
"wire grass","FL4","254A","O","Y",-0-,"Âwa´æ¥$gr·´∫{∞}s","MS","INA",1160.
"marsh","FL4","254A","N","N",-0-,"mﬁº¥Û","MS",-0-,1160.
"NR","FL5B","255.2",-0-,"N",-0-,-0-,"MS",-0-,1162.
-0-,"NY30D","475d",-0-,-0-,"get out very damned easy¢",-0-,"MS","RN2",86.
"you get in there and you can't","NY30D","475d","S","Y",-0-,"j∞$Âgà±´tê$±æn$‰≤¥$∞Ωn$j∞$Âkà·{≤}nt","MS","INA/RN1",86.
"get out very damned easy","NY30D","475d",-0-,-0-,-0-,"g±´d$≤πt$Âv≤¥±´æ$ıd·∫md$i∫z±´æ","MS","RN2",86.
"marsh","VA4N","N109","N","N",-0-,"mµ´æ{∞´}Û","MS",-0-,583.
"marsh","VA12N","N131","N","N","big","m·∫Û","MS",-0-,599.
"marsh","VA19B","147","N","N",-0-,"m∂º∂´Û","MS",-0-,616.
"salt water marsh","SC7B","209.2","O","N",-0-,"s∑º∫{∞}l$w∑º∫{∞}tê∞$mµæ∫{∞}Û","MS",-0-,910.
"flooded","SC38N","N239","A","Y",-0-,"f≈πºd±øºd","MS","INA",1020.
"high water","SC38N","N239","O","Y",-0-,"Âha´æ∫{∞}$ıw∂´ºotê∞º","MS","INA",1020.
"marsh","GA7","256","N","N","always salt","mµº∫∞´Û","MS",-0-,1069.
"swale grass","NY45A","513a","O","Y",-0-,"ÂswèeΩÏ$ıgÚá·´s","MS","INA",122.
"a sloughs","NY48C","519c","O","N",-0-,"∞$Âslµoºz","MS",-0-,133.
"slough hole","NY48C","519c","O","N","= ""quicksand¢","Âslèµºoº$ıhoΩºπºÏ","MS",-0-,133.
"quicksand","NY48C","519c","N","N",-0-,"Âkw±kıs·∫n","MS",-0-,133.
"meadow","NJ1A","1","N","N","very wet; salt","Âm≤{∞}d¥","MS",-0-,183.
"spung","NJ1B","2","N","N","on edge of meadow, low spot","sp∏Ó","MS",-0-,184.
"meadow","NJ6B","12","N","N","very wet; salt grass, can be mowed","Âm≤d∞","MS",-0-,194.
"meadow","NJ8B","20","N","N","salt","m≤d¥","MS",-0-,198.
"cripple","DE6B","24","N","Y","useless land; hay not as good as marsh","kr±pÏ","MS","INA",512.
"mire","NC39B!","390!","N","N","sinkable, quicksand","ma´æ{±ø}∞","MS",-0-,820.
"mud flats","SC10A","212.1","O","N",-0-,"Âm∏ºd$ıf≈·Ωts","MS",-0-,920.
"oyster banks","SC10A","212.1","O","N",-0-,"Â∑º∫±øst∞Ω$ıb·´Óks","MS",-0-,920.
"Charleston","SC38A","239.1","N","Y",-0-,"ÂtÛ`ﬁ∫{∞}Ïstn","MS","INA",1021.
"beach","GA1B","246.11","N","Y",-0-,"bitÛ","MS","INA",1046.
"seaweed","GA1B","246.11","N","Y",-0-,"ısi∫ıwi∫d","MS","INA",1046.
"hammock","GA1E","246.4","N","Y","grassy ""island¢ in marsh","Âh·Ω∫{∞}m∞æk","MS","INA",1049.
"beach","GA5E!","250.5!","N","Y",-0-,"bi∫{±ø}tÛ","MS","INA",1066.
"flat","GA8B","257.2","N","N",-0-,"flè·∫{∞}t","MS",-0-,1071.
"Brunswick","GA28","271a","N","Y",-0-,"b≥æ¥nzw±øk","MS","INA",1114.
"shore","GA37I!","274.6!","N","Y",-0-,"Ûoº∞","MS","INA",1141.
"forest land","FL2B","253.2","O","Y",-0-,"Âfµær±øst$ıl·∫{∞}nd","MS","INA",1156.
"NR","NY23C","462b",-0-,"N",-0-,-0-,"MS",-0-,66.
"NR","NY31A","478a",-0-,"N",-0-,-0-,"MS",-0-,88.
"NR","NY31B","478b",-0-,"N",-0-,-0-,"MS",-0-,89.
"NR","NY34C","485",-0-,"N",-0-,-0-,"MS",-0-,97.
"NR","NY34D!","486!",-0-,"N",-0-,-0-,"MS",-0-,98.
"NR","NY46A","515a",-0-,"N",-0-,-0-,"MS",-0-,126.
"NR","NY51E!","525e!",-0-,"N",-0-,-0-,"MS",-0-,145.
"NR","NY52B","528",-0-,"N",-0-,-0-,"MS",-0-,147.
"NR","NY57C!","537c!",-0-,"N",-0-,-0-,"MS",-0-,159.
"NR","NY58B","539b",-0-,"N",-0-,-0-,"MS",-0-,161.
"NR","NY58C","539c",-0-,"N",-0-,-0-,"MS",-0-,162.
"NR","NY58D!","539d!",-0-,"N",-0-,-0-,"MS",-0-,163.
"NR","NY60A","545",-0-,"N",-0-,-0-,"MS",-0-,168.
"NR","NY60B!","546!",-0-,"N",-0-,-0-,"MS",-0-,169.
"NR","NY62D!","551d!",-0-,"N",-0-,-0-,"MS",-0-,175.
"NR","NY64B","557b",-0-,"N",-0-,-0-,"MS",-0-,181.
"NR","PA4A","63",-0-,"N",-0-,-0-,"MS",-0-,243.
"NR","PA4B!","64!",-0-,"N",-0-,-0-,"MS",-0-,244.
"NR","WV39C!","371!",-0-,"N",-0-,-0-,"MS",-0-,464.
"NR","WV52C!","260!",-0-,"N",-0-,-0-,"MS",-0-,493.
"NR","MD9N","N46",-0-,"N",-0-,-0-,"MS",-0-,531.
"NR","MD13E!","58!",-0-,"N",-0-,-0-,"MS",-0-,543.
"NR","VA2A","103",-0-,"N",-0-,-0-,"MS",-0-,578.
"NR","VA3B","106",-0-,"N",-0-,-0-,"MS",-0-,581.
"NR","VA5A","107",-0-,"N",-0-,-0-,"MS",-0-,584.
"NR","VA5B","108",-0-,"N",-0-,-0-,"MS",-0-,585.
"NR","VA8B","124",-0-,"N",-0-,-0-,"MS",-0-,591.
"NR","VA10A","127",-0-,"N",-0-,-0-,"MS",-0-,595.
"NR","VA11A","129",-0-,"N",-0-,-0-,"MS",-0-,597.
"NR","VA12A","131",-0-,"N",-0-,-0-,"MS",-0-,600.
"NR","VA12B!","132!",-0-,"N",-0-,-0-,"MS",-0-,601.
"NR","VA13B","134",-0-,"N",-0-,-0-,"MS",-0-,603.
"NR","VA17B","144",-0-,"N",-0-,-0-,"MS",-0-,613.
"NR","VA30E!","170!",-0-,"N",-0-,-0-,"MS",-0-,640.
"NR","VA32!","175!",-0-,"N",-0-,-0-,"MS",-0-,644.
"NR","VA33A","173",-0-,"N",-0-,-0-,"MS",-0-,645.
"NR","VA45A","201",-0-,"N",-0-,-0-,"MS",-0-,667.
"NR","VA45B","202",-0-,"N",-0-,-0-,"MS",-0-,668.
"NR","VA47","211",-0-,"N",-0-,-0-,"MS",-0-,672.
"NR","VA49A","215",-0-,"N",-0-,-0-,"MS",-0-,675.
"NR","VA51A","219",-0-,"N",-0-,-0-,"MS",-0-,679.
"NR","VA54A","229",-0-,"N",-0-,-0-,"MS",-0-,687.
"NR","VA55A","233(*)",-0-,"N",-0-,-0-,"MS",-0-,689.
"NR","VA58","241(*)",-0-,"N",-0-,-0-,"MS",-0-,695.
"NR","VA59N","N241",-0-,"N",-0-,-0-,"MS",-0-,696.
"NR","VA61B!","246!",-0-,"N",-0-,-0-,"MS",-0-,701.
"NR","VA61C","245X",-0-,"N",-0-,-0-,"MS",-0-,702.
"NR","VA64B","256",-0-,"N",-0-,-0-,"MS",-0-,708.
"NR","VA65A","257",-0-,"N",-0-,-0-,"MS",-0-,709.
"NR","VA65B","258",-0-,"N",-0-,-0-,"MS",-0-,710.
"NR","VA65C!","259!",-0-,"N",-0-,-0-,"MS",-0-,711.
"NR","VA66A","261",-0-,"N",-0-,-0-,"MS",-0-,712.
"NR","VA68A","269",-0-,"N",-0-,-0-,"MS",-0-,716.
"NR","VA68B","270",-0-,"N",-0-,-0-,"MS",-0-,717.
"NR","VA70A","275",-0-,"N",-0-,-0-,"MS",-0-,720.
"NA","NC7A","315(*)",-0-,"N",-0-,-0-,"MS",-0-,741.
"NR","NC8N","N317",-0-,"N",-0-,-0-,"MS",-0-,743.
"NR","NC40A","391",-0-,"N",-0-,-0-,"MS",-0-,821.
"NR","NC62A","447",-0-,"N",-0-,-0-,"MS",-0-,859.
"NR","NC73A","491",-0-,"N",-0-,-0-,"MS",-0-,882.
"NR","NC73B","492",-0-,"N",-0-,-0-,"MS",-0-,883.
"NR","SC22B","223.2",-0-,"N",-0-,-0-,"MS",-0-,968.
"NA","SC29A","230.2(*)",-0-,"N",-0-,-0-,"MS",-0-,991.
"NR","SC33A","234.1",-0-,"N",-0-,-0-,"MS",-0-,1005.
"NR","SC33B","234.2",-0-,"N",-0-,-0-,"MS",-0-,1006.
"NR","SC34B","235.2",-0-,"N",-0-,-0-,"MS",-0-,1008.
"NR","SC35B","236.2",-0-,"N",-0-,-0-,"MS",-0-,1011.
"NR","SC39A","240.1",-0-,"N",-0-,-0-,"MS",-0-,1026.
"NR","SC41A","242.1",-0-,"N",-0-,-0-,"MS",-0-,1030.
"NR","SC42N","N243",-0-,"N",-0-,-0-,"MS",-0-,1032.
"NR","SC43B","244.2",-0-,"N",-0-,-0-,"MS",-0-,1040.
"NR","SC44A","245.1",-0-,"N",-0-,-0-,"MS",-0-,1042.
"NR","GA20B","266.2",-0-,"N",-0-,-0-,"MS",-0-,1097.
"NR","GA24A","269.1",-0-,"N",-0-,-0-,"MS",-0-,1109.
"NR","GA24B","269.2",-0-,"N",-0-,-0-,"MS",-0-,1110.
"NR","GA35N","N273A",-0-,"N",-0-,-0-,"MS",-0-,1129.
"NR","FL5A","255.1",-0-,"N",-0-,-0-,"MS",-0-,1161.

